topic,aspect,difference,delta,mean,mean_others,diff_mean,med,med_others,diff_med,website,post_type
Collisions,is_resolved,,,,,,,,,gamedev_se,questions
Collisions,has_code,,,,,,,,,gamedev_se,questions
Movement,n_responses,,,,,,,,,gamedev_se,questions
Movement,len_text,,,,,,,,,gamedev_se,questions
Movement,is_answered,,,,,,,,,gamedev_se,questions
Movement,is_resolved,,,,,,,,,gamedev_se,questions
Movement,has_code,greater,negligible,,,,,,,gamedev_se,questions
Camera,n_responses,less,negligible,,,,,,,gamedev_se,questions
Camera,len_text,,,,,,,,,gamedev_se,questions
Camera,is_answered,,,,,,,,,gamedev_se,questions
Camera,is_resolved,,,,,,,,,gamedev_se,questions
Camera,has_code,,,,,,,,,gamedev_se,questions
General programming,n_responses,greater,negligible,,,,,,,gamedev_se,questions
General programming,len_text,,,,,,,,,gamedev_se,questions
General programming,is_answered,greater,negligible,,,,,,,gamedev_se,questions
General programming,is_resolved,greater,negligible,,,,,,,gamedev_se,questions
General programming,has_code,,,,,,,,,gamedev_se,questions
Display,n_responses,,,,,,,,,gamedev_se,questions
Display,len_text,,,,,,,,,gamedev_se,questions
Display,is_answered,,,,,,,,,gamedev_se,questions
Display,is_resolved,,,,,,,,,gamedev_se,questions
Display,has_code,,,,,,,,,gamedev_se,questions
GUI,n_responses,less,negligible,,,,,,,gamedev_se,questions
GUI,len_text,less,negligible,,,,,,,gamedev_se,questions
GUI,is_answered,,,,,,,,,gamedev_se,questions
GUI,is_resolved,,,,,,,,,gamedev_se,questions
GUI,has_code,greater,negligible,,,,,,,gamedev_se,questions
Geometry,is_accepted,,,,,,,,,gamedev_se,answers
Geometry,len_text,greater,negligible,,,,,,,gamedev_se,answers
Geometry,has_code,less,negligible,,,,,,,gamedev_se,answers
General programming,is_accepted,,,,,,,,,gamedev_se,answers
General programming,len_text,greater,negligible,,,,,,,gamedev_se,answers
General programming,has_code,greater,negligible,,,,,,,gamedev_se,answers
Viewport,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Viewport,len_text,less,negligible,,,,,,,gamedev_se,answers
Viewport,has_code,less,negligible,,,,,,,gamedev_se,answers
Object Oriented Programming,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Object Oriented Programming,len_text,,,,,,,,,gamedev_se,answers
Object Oriented Programming,has_code,less,negligible,,,,,,,gamedev_se,answers
Sound/audio,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Sound/audio,len_text,,,,,,,,,gamedev_se,answers
Sound/audio,has_code,less,negligible,,,,,,,gamedev_se,answers
Collisions,is_accepted,,,,,,,,,gamedev_se,answers
Collisions,len_text,,,,,,,,,gamedev_se,answers
Collisions,has_code,less,negligible,,,,,,,gamedev_se,answers
Rendering,is_accepted,greater,negligible,,,,,,,gamedev_se,answers
Rendering,len_text,greater,negligible,,,,,,,gamedev_se,answers
Rendering,has_code,less,negligible,,,,,,,gamedev_se,answers
Game engines,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Game engines,len_text,less,negligible,,,,,,,gamedev_se,answers
Game engines,has_code,less,negligible,,,,,,,gamedev_se,answers
Publishing apps,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Publishing apps,len_text,,,,,,,,,gamedev_se,answers
Publishing apps,has_code,less,negligible,,,,,,,gamedev_se,answers
File management,is_accepted,,,,,,,,,gamedev_se,answers
File management,len_text,less,negligible,,,,,,,gamedev_se,answers
File management,has_code,less,negligible,,,,,,,gamedev_se,answers
Game objects,is_accepted,greater,negligible,,,,,,,gamedev_se,answers
Game objects,len_text,less,negligible,,,,,,,gamedev_se,answers
Game objects,has_code,greater,large,0.8891286754788238,0.3076946733915611,-0.5814340020872627,1.0,0.0,-1.0,gamedev_se,answers
Android development,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Android development,len_text,,,,,,,,,gamedev_se,answers
Android development,has_code,less,negligible,,,,,,,gamedev_se,answers
Runtime,is_accepted,,,,,,,,,gamedev_se,answers
Runtime,len_text,greater,negligible,,,,,,,gamedev_se,answers
Runtime,has_code,less,negligible,,,,,,,gamedev_se,answers
Event handling,is_accepted,,,,,,,,,gamedev_se,answers
Event handling,len_text,greater,negligible,,,,,,,gamedev_se,answers
Event handling,has_code,less,negligible,,,,,,,gamedev_se,answers
User accounts,is_accepted,less,negligible,,,,,,,gamedev_se,answers
User accounts,len_text,,,,,,,,,gamedev_se,answers
User accounts,has_code,less,negligible,,,,,,,gamedev_se,answers
Game mechanics,is_accepted,less,negligible,,,,,,,gamedev_se,answers
Game mechanics,len_text,greater,small,1271.9056068133427,798.3895411467921,-473.5160656665506,908.5,556.0,-352.5,gamedev_se,answers
Game mechanics,has_code,less,negligible,,,,,,,gamedev_se,answers
Display,is_accepted,,,,,,,,,gamedev_se,answers
Display,len_text,,,,,,,,,gamedev_se,answers
Display,has_code,less,negligible,,,,,,,gamedev_se,answers
Movement,is_accepted,,,,,,,,,gamedev_se,answers
Movement,len_text,less,negligible,,,,,,,gamedev_se,answers
Movement,has_code,less,negligible,,,,,,,gamedev_se,answers
Character animation,is_accepted,,,,,,,,,gamedev_se,answers
Character animation,len_text,greater,negligible,,,,,,,gamedev_se,answers
Character animation,has_code,less,negligible,,,,,,,gamedev_se,answers
Positioning,is_accepted,greater,negligible,,,,,,,gamedev_se,answers
Positioning,len_text,greater,negligible,,,,,,,gamedev_se,answers
Positioning,has_code,greater,small,0.5618490512198602,0.37544833969686453,-0.18640071152299564,1.0,0.0,-1.0,gamedev_se,answers
Camera,is_accepted,,,,,,,,,gamedev_se,answers
Camera,len_text,,,,,,,,,gamedev_se,answers
Camera,has_code,,,,,,,,,gamedev_se,answers
GUI,is_accepted,,,,,,,,,gamedev_se,answers
GUI,len_text,less,negligible,,,,,,,gamedev_se,answers
GUI,has_code,,,,,,,,,gamedev_se,answers
Networking,is_accepted,,,,,,,,,gamedev_se,answers
Networking,len_text,greater,small,1173.4915870850386,805.279214106066,-368.21237297897267,869.0,558.0,-311.0,gamedev_se,answers
Networking,has_code,less,negligible,,,,,,,gamedev_se,answers
3D modeling,is_accepted,less,negligible,,,,,,,gamedev_se,answers
3D modeling,len_text,less,negligible,,,,,,,gamedev_se,answers
3D modeling,has_code,less,negligible,,,,,,,gamedev_se,answers
Game environments,is_accepted,,,,,,,,,gamedev_se,answers
Game environments,len_text,less,negligible,,,,,,,gamedev_se,answers
Game environments,has_code,less,negligible,,,,,,,gamedev_se,answers
Object Oriented Programming,len_text,less,negligible,,,,,,,gamedev_se,comments
Object Oriented Programming,has_code,,,,,,,,,gamedev_se,comments
General programming,len_text,greater,negligible,,,,,,,gamedev_se,comments
General programming,has_code,,,,,,,,,gamedev_se,comments
File management,len_text,greater,negligible,,,,,,,gamedev_se,comments
File management,has_code,,,,,,,,,gamedev_se,comments
Game objects,len_text,greater,negligible,,,,,,,gamedev_se,comments
Game objects,has_code,greater,negligible,,,,,,,gamedev_se,comments
Viewport,len_text,,,,,,,,,gamedev_se,comments
Viewport,has_code,,,,,,,,,gamedev_se,comments
Networking,len_text,greater,small,238.62479131886477,195.85098352713177,-42.77380779173299,205.0,158.0,-47.0,gamedev_se,comments
Networking,has_code,,,,,,,,,gamedev_se,comments
Android development,len_text,,,,,,,,,gamedev_se,comments
Android development,has_code,,,,,,,,,gamedev_se,comments
Rendering,len_text,greater,small,229.3001471534995,193.09339864658003,-36.20674850691947,196.0,155.0,-41.0,gamedev_se,comments
Rendering,has_code,,,,,,,,,gamedev_se,comments
Game engines,len_text,,,,,,,,,gamedev_se,comments
Game engines,has_code,,,,,,,,,gamedev_se,comments
Publishing apps,len_text,greater,negligible,,,,,,,gamedev_se,comments
Publishing apps,has_code,,,,,,,,,gamedev_se,comments
Runtime,len_text,greater,small,227.69768223043332,195.92580808622185,-31.771874144211466,195.0,158.0,-37.0,gamedev_se,comments
Runtime,has_code,,,,,,,,,gamedev_se,comments
Camera,len_text,greater,negligible,,,,,,,gamedev_se,comments
Camera,has_code,,,,,,,,,gamedev_se,comments
Event handling,len_text,greater,negligible,,,,,,,gamedev_se,comments
Event handling,has_code,,,,,,,,,gamedev_se,comments
Positioning,len_text,greater,small,228.2599566429235,194.21921895748204,-34.04073768544146,196.0,156.0,-40.0,gamedev_se,comments
Positioning,has_code,,,,,,,,,gamedev_se,comments
Movement,len_text,less,negligible,,,,,,,gamedev_se,comments
Movement,has_code,,,,,,,,,gamedev_se,comments
Display,len_text,greater,negligible,,,,,,,gamedev_se,comments
Display,has_code,,,,,,,,,gamedev_se,comments
Game mechanics,len_text,greater,small,254.88809523809525,195.2804814029903,-59.60761383510496,225.0,158.0,-67.0,gamedev_se,comments
Game mechanics,has_code,,,,,,,,,gamedev_se,comments
Collisions,len_text,greater,small,238.264324995565,195.68503320279245,-42.57929179277255,206.0,158.0,-48.0,gamedev_se,comments
Collisions,has_code,,,,,,,,,gamedev_se,comments
Geometry,len_text,greater,negligible,,,,,,,gamedev_se,comments
Geometry,has_code,,,,,,,,,gamedev_se,comments
Sound/audio,len_text,,,,,,,,,gamedev_se,comments
Sound/audio,has_code,,,,,,,,,gamedev_se,comments
Game environments,len_text,,,,,,,,,gamedev_se,comments
Game environments,has_code,,,,,,,,,gamedev_se,comments
3D modeling,len_text,,,,,,,,,gamedev_se,comments
3D modeling,has_code,,,,,,,,,gamedev_se,comments
User accounts,len_text,less,negligible,,,,,,,gamedev_se,comments
User accounts,has_code,,,,,,,,,gamedev_se,comments
Character animation,len_text,greater,negligible,,,,,,,gamedev_se,comments
Character animation,has_code,,,,,,,,,gamedev_se,comments
GUI,len_text,,,,,,,,,gamedev_se,comments
GUI,has_code,,,,,,,,,gamedev_se,comments
